,1
train_dataset/receipt_00503.png, Cted Ix 22727 Re22727 Ayam Grg Kalasan 3x 4545 Re13635 Tempe MDSE  ST Rp36362 TaXTStT 36362 PB Rp3636 DIFFER Re2 ITEMS 40 cash 40000 4 
train_dataset/receipt_00296.png," Laa /0 T ALMOND CREAM CHEESE 2 X 28,000 56,000 SUB TOTAL 56,000 GRANDTOTAL 56,000 CASH IDR 56,000 CHANGE DUE % OF "
train_dataset/receipt_00706.png," Aede SIRSAK 10 ,000 SUNK I ST 10,000 2 QT TOTAL 20 000 CASH 20,000 CS "
train_dataset/receipt_00285.png," Salt (H) 40.00o Hinera] Water ` (8) 10.00o Fanta Stwbry (L) 25. (00 TOTAL 75, O00 CASH 100. O0o CHANGED 25, 000 Popcorn "
train_dataset/receipt_00630.png," 1 Grilled Salmon Head 24,500 1 Set Menu Family J18 QOo 1 Tairyos Salmon Maki 46 , DDO 2 Tepanyaki Cawanmushi 44; @OQ 1 Teppan Seafond Fr Rc 36,00Q 1 Tobiko Gunkan 24;ODO SUDTOTAL 492 500 SC 67 29 550 PBi 107 52'205 TOTAL 574.255 574,255 Master 2322 "
train_dataset/receipt_00732.png," TAKEOUT ( 1) ; Viet Latte 19,000 +Ice Subtotal Total Rp 19.000 Rp 19,000  CaSH Kenbalian Rp 5O,O Rp 31,00 "
train_dataset/receipt_00226.png," PKT   TELUR/PERKEDEL 26 , 000 DENDEMG 23 ,000 SBL GR TERI 17,u00 2X 6,000 NESTLE 330 ML 16 ,000 5 ,00  ITEMS SUBTOTAL 62,000 tAX 10Y 8,200 TOTAL: 90,200 CASH 100,000 CHANGE 9,800 1] "
train_dataset/receipt_00071.png," 4 16.363 16.363 2 Jumlah Sub Total 16,363 Pajak Resto 1,636 7 297 Grand Total 1 1 1 1 1 "
train_dataset/receipt_00675.png," 4eta 7 Salted Egg Yolk Chicken 45,00Q ITEMS :1 45,000 Total 45,000 'Cash 50,000 Change :5,Q00 Tem abbbbbb*bbbeeebaawbebwmaebeihuwbhexacrawamaaaDaWWEUE0 Pay "
train_dataset/receipt_00146.png," YANG YUM GUI 97,000 SOONDUBU CHIGE 75,000 JAP CHAE 105,000 MAKOLI 120,000 GOCHUJANG 85,000 BIBIMBAB Sub Total 482 0OO Service 33,740 Tax 48,685 Discount TOTAL 564,425 Card 564,425 CHANGE "
