,1
train_dataset/receipt_00503.png,"ES
wo! 1
Ix 22727 Re22727

, Ayan Grg Kalasan
Pi 3x 4545 Rp13635
Tempe
HOSE ST Rp36362
TAX ST + 36362 |
PB I RP3636
DIFFER Re2 /
ITEMS 40 CHE
CASH *. 40000
Fe ee ttre:
10m aie
a |
| ly ae ep ee /
"
train_dataset/receipt_00296.png,"a a

s

mo ~ 6

wy Be th 1a f

: ALMOND CREAM CHEESE
2. 2 x 28,000 56.060
f°"" SUBTOTAL 56.000
4 GRANDTOTAL 56.000
: CASH IDR 56 000
CHANGE DUE 3
xy OF
"
train_dataset/receipt_00706.png,"1 SIRSAK 10, 000

1 SUNKIST 10, 006
2 aT

TOTAL 20, 000

CASH 20, 000
"
train_dataset/receipt_00285.png,"1 Danan Torrens ae
~ MRO Salt (MJ 40, O00
, Mineral aater (3) 10, 006
ranta StwOry (L) 25. 900
AT \

PUT AL Cope
CASH oy
CHANGED
"
train_dataset/receipt_00630.png,"y
ore +e :
i Grilled Saison Head 4 Sng
i Set Menu Faaily 332,505
i Tairyos Salmon Neki “a6 000
2 Tepanyaki Cawaniuchi aq°oce = |
od Teppah Seafood Fr Re 36i000 |?
__h Tobtke Gunkon 24,000
SUBTOTAL 492,500
SC 6k 29,550
PRL 10% S228 |
TOTAL 474,255 oo
Master 74,258 Ge
ee
—————
soneenneene ween a
"
train_dataset/receipt_00732.png,"rangagreyyy nn
1 Viet Latte 19.000
fice
Subtotal Rp 19.000
Total Ra 19.000
CASH fp 60,000
Keatal ian Ro 31.000
"
train_dataset/receipt_00226.png,"s p>
*
og PKT TELIR/PERKEF TT, 26,000 |
enol ENDER: 22,900
SBL Git TERT 17,000
2x 6,000
NESTLE 330 ML 16,000
5,00 ITEMS
JA SUBTOTAL 62,000
ms TAX 10% 8,200
TOTAL 90, 200
y ~=CASH 100,000
CHANGE 8,800
"
train_dataset/receipt_00071.png,"“s \ oe os
G\ i fs
*n gh
° ae,
% Aeog
©, ee
aN :
\ fa
2 he
® on
%
e,
"
train_dataset/receipt_00675.png,"OR ET
y
f |
Salted Egg Yolk Chicken ° ""45,000
ITEMS :1 45,000
Total... 45,000.
Pay Cash 60,000 Change 5,000
e
"
train_dataset/receipt_00146.png,"iN ra ee a rtd
' yo \ A Oe
i Pan a ene
Pas
. a
\ a \
. § Se
—_ YANG YUM GUI 4 97,000 | an
i SOONDUBU CHIGE 1 75,000 “
vot ate JAP CHAE 4 105,000 ; ;
. ee «(MAKOLI 14 120,000 7 .
‘ WS GOCHUJANG 1 8& 000 a
= ¥ BIBIMBAB
: Sub Total 482 000 BS
iets) §— Service 33.740 Ea
Nei Tax 48,685 mS
! Discount c =
A TOTAL 564,425 noes
a Card 564,425 Ao
ic CHANGE 0 o
7 8
ie
\ a 7 “rag : Xv
\ a Wie
i B\\, i ey an
\ ae ’, a Se weet Sars
i Ww cy KS S s we af
i oa 7 \
; at .
-— . L .
"
train_dataset/receipt_00135.png,"¢
Pla Rp
on Eh
Bis ey
Mab .
RII LG
ae

oe ’

oe

ae a pe
"
train_dataset/receipt_00502.png,"J ) eu a
——e BATU RAL
oon ene hee : *
+e ~
a. - Oe
@ 6 ee e '
VANBOOLEN 9 ,000
JONGKONG 15,500
DISC ITEM ~30 000%
AMOUNT -4,650
PLASTIK KECIL 0
SENDOK BEBEK 0
SUBTOTAL 19,850
TOTAL 19,850
CASH 20,000
CHANGE 150
©
ee hee
D4 th Comme eNtOre
"
train_dataset/receipt_00272.png,"oe Eo air
oo wpe e Aad Bn AUGE oo
. . . = SO -
: - - TLRs SaaS ae
| - ; - snmomscss
CEPRLEEL :
' ah ""s.
JOULE SIY IND Lu Lm %
NIL Sas. a
fearon pasion *
Better ae ae
= nmaratssmss
Sa
"
train_dataset/receipt_00155.png,"bee Ail’ BRM gs SA
‘th oA eenarten a
a ’ Paar e i -
Pato | vee,
Poe: ay oy
ee | i ik, vs
gy } mo , whe
} +e ee aly
} ” e fl ae eg ee : a
a wy
, Pi ; hy ,
ie 5
P \ Pe
mat en
if] B®
- i
1 3BQ Chicken 41,000
1. Tidak Pedas 8
ITEMS: 44,000 -
Total 41.000
DEBIT BCA 41.000
ya
"
train_dataset/receipt_00131.png,"Ge + meet
1001-Choco Bun
* 22.000 x1 * 22.000 2
4Q01-Plastic Bag Small ea
0 «h ted a ek
we eT men segs: re
Total Item: 2
ge
Po eee
! Total. / e280
pears ee amy
ae ‘ ‘ 2 sia 3 eas
esi, oa . = rer = ‘
"
train_dataset/receipt_00771.png,"hero
Beats
tant
KY . A “
2
*1 Pe Cheese fart Roz90""0 .00
Su ee eee ce ee eee
ubtotal Ro 29000 .00
- “ ou aeree ene -
Total: Re 29000 .00
ss Custoner Paid Cash: Rp29000 .00
} Customer Change: == 0.00
ees | PRs == ams Kaname ~ wtneegenacennes - 3 be
en
"
train_dataset/receipt_00457.png,"oo ee eee
'
. Voce .
aie od

Es Kopi Susu

1x @15.000 15.000
Subtotal . » 15,000
Total 4 15.000
"
train_dataset/receipt_00354.png,"|
LODE thees eo .
bODL-Pacte. ao noe
ital Items
otal,
22,000
ndered:

an

ee. O00

ae = ay gala
"
train_dataset/receipt_00559.png,"ye . ae
os te
74 ae
at . =
os —— —— ~ a
aye. x
os x me
- &
Zz :
rd .
; z
a mmm en annem enn ene ee mee ae ie
fe, . e - |
4, . wet ee ee ne ee eee ne ee
“4 4) Salted Egg Chicken 22,0 ae
ns SubTotal: 22,727
me PRA: 2,27),
ea wee eee ee ce me
* Total: «25,08
: casht 25,000 a
SEESnccs2 oo soserces- Ze, ~
e BE
"
train_dataset/receipt_00298.png,"POREINGR go Sop MA gl Bp He ae PT ae
oe ae i iad rea ee
ep ARREE fea B ZIDANE Bla Be ed TN ee Fa EB
ne id Hes adh Aas ib i ice al it a i
. : : ane
i o
: ae
Ht
aii
we
Hi
641 CHE] BLACK SAKURA 57 27%
8 LA GON FRUIT G
: TKIV 9
1 MANGGO 0
7 OAGTED ALMOND Q
1 fb LOW VELVET 0
7 YELLOW VELVET 0
Sub Total 57 273
PBI (10%) 5727
| heaunding )
Total 63,000
RMO4¢RT7PXO aac: ites |
"
train_dataset/receipt_00189.png,"TRAM pnenTL TOAST Pan BERD 24,000 >
A TOTAL 24,000
2 SON CASH 50 , 000
ae: CHANGE —- 26,000
fa.
4 tie >
"
train_dataset/receipt_00289.png,"HAST GORENG — a, 000
TER BEL ES 5, O00
TEM TELOR 14,000
SATE PABANG 30, 000
HS] GORENG 60. O00
SuETL. 169, 000
Tay 40%

14.900
JUNLAH: 185.900
DIBAYAR 200, O00
KENBAL Ts 14.100
We 7
"
train_dataset/receipt_00311.png,"Ba
ey
eG
| if
| noon non nnnnnnnn nn nn
| ) #anans Cho + duies 20,0008
al SubTotal: 20,000 :
' PRL: 2,00
} SL Nt y
otal: 2 Noue
. cash: 22,000
i a ee so==sss-= ‘ |
ere. |
he Ts , ees
"
train_dataset/receipt_00360.png,"> TWIST ORANGE CHUCO DOT 20 ocd
2 CHOCOLATE TWIST 27 oot

1 REAL CHOCOLATE ROLL 76, 00c

2 CHOCOLATE SOBCRO 93 Dee
TOTAL 96 000

00 a0

CHANGE §=— 4.009
"
train_dataset/receipt_00221.png,"T POTATO SAUSAGE BREAD 9,00

1 OREG GREEN TEA SPREAD 52,000

1 WHITE CHOCO BANANA SPREAD 2,000

TOTAL 123, J00

CARD 123 ,'300
wwe
"
train_dataset/receipt_00498.png,"wT WILK PASTRY ROLL 9,000
1 CARAMEL PASTRY kee
TOTAL 21,000
CasH 50,000
CHANGE 29,000
"
train_dataset/receipt_00143.png,"=
/ Bie a
: Se O
oe:
- 1 Iced Mochaccino 38.000 ee
_ Subtotal 38.000 iE Ss
| — Pajak 3.800 ee
oe Total M1800 Fee
/ Cp cemerotossrcemsescensaccceeen
a 4 CASH 102.000 Bee
2. 3 Kembal ian 60.200 BAe
Co Bie
Bg on a Z :
Oye ne, eae Tag eee
a matratere.| Be
i os —
es BO en, ee per ae ee eo
"
train_dataset/receipt_00227.png,"a $2508.80
Fecal ides 1
Totah. + 9.500,00
Cash ~—
Tendereds » 20.000,00
Changer at «10.50
"
train_dataset/receipt_00694.png,"a eS x a — FH
“ee 78m ke
« pr i qn9 ~~

) ae

\ ; a Voy 4 a. o™~ ‘

e

}

,
B *

~ a” -

oy oy a’ hm
"
train_dataset/receipt_00139.png,"aa .

Be: toe

i : ¢

(RRR

sh cee eee peepee ce

i (| sSesesseacscasnssecsssecescureiiss eneesesnsccss |

2 oe

Hie

i ae 5

: i a : BINT SI TPS T IOC TTR H SSS TIATBaT SRA IASI TIS STS STS SSSTs .

4 1 Sesame Toast 1 22,560 22,500

He Sub Total 22,500 F.

oH 4 Tem ee a ee mm SS ee eee =

MB GRAND TOT. 22,500 Fee
a PASH ooo Be
Hes CASH 30,000 Tee
We re . . ae
' ‘ “ CHANGE 27,500 Fa
| , 4 SO TDN LID SHR SS SSS SSIS STITT ISAT TIS rsh ar sss BS

8 BA

ee Mey: Sy?
a hee a

Bs By i.

‘ 27% betes e P . sey; . x

iy Cee PRCT, Oe CERES. Ce. Fe

i% : Pasar 2 ees ees Peale ae ee aS yu mad .

Ko iS he ieee : Kit A tcy . Oc PR Repo

Sere RE ae Fa Rt pe EG EA eo
Fh Ge Oger np mee, EE NE Be TEE CN ge Bee |

Geen) Spe foes RAI 2S nd PE a Bee
"
